KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,EGRFORMA
"CS","FORMA",56,"804","Kraj a hl.m.Praha","Kraj a hl.m.Praha","01.11.2000","09.09.9999","GO"
"CS","FORMA",56,"805","Reg.rada regionu soudr.","Regionální rada regionu soudržnosti","01.07.2006","31.12.2021","GO"
"CS","FORMA",56,"901","Zast.orgán jiných států","Zastupitelský orgán jiných států","01.01.1900","09.09.9999",
"CS","FORMA",56,"906","Zahraniční spolek","Zahraniční spolek","01.01.2014","09.09.9999",
"CS","FORMA",56,"907","Mezinárodní odborová organizace","Mezinárodní odborová organizace","01.01.2014","09.09.9999",
"CS","FORMA",56,"908","Mezinárodní organizace zaměstnavetelů","Mezinárodní organizace zaměstnavatelů","01.01.2014","09.09.9999",
"CS","FORMA",56,"911","Zahr.kult.střed.,agent.","Zahraniční kulturní, informační středisko, rozhlasová, tisková a televizní agentura","01.01.1900","09.09.9999","ND"
"CS","FORMA",56,"921","Mezinár.nevlád.org.","Mezinárodní nevládní organizace","01.01.1900","09.09.9999","ND"
"CS","FORMA",56,"922","Org.jed.mezinár.nevládní org.","Organizační jednotka mezinárodní nevládní organizace","01.07.2010","09.09.9999","ND"
"CS","FORMA",56,"931","Ev.hosp.zájm.sdružení","Evropské hospodářské zájmové sdružení","15.06.2004","09.09.9999","NB"
"CS","FORMA",56,"932","Evropská společnost","Evropská společnost","14.12.2004","09.09.9999","LL"
"CS","FORMA",56,"933","Evr.družst.společnost","Evropská družstevní společnost","18.08.2006","09.09.9999","LL"
"CS","FORMA",56,"936","Zahraniční pobočný spolek","Zahraniční pobočný spolek","01.01.2014","09.09.9999",
"CS","FORMA",56,"941","Evr.seskupení úz.spolupr.","Evropské seskupení pro územní spolupráci","01.01.2008","09.09.9999","ND"
"CS","FORMA",56,"950","Subjekt práv.řád.neupravený","Subjekt právním řádem výslovně neupravený","01.07.2007","09.09.9999","ND"
"CS","FORMA",56,"951","Mezinár. vojenská org. vzniklá na základě mezinár. smlouvy","Mezinárodní vojenská organizace vzniklá na základě mezinárodní smlouvy","01.01.2018","09.09.9999",
"CS","FORMA",56,"952","Konsorcium evropské výzkumné infrastruktury","Konsorcium evropské výzkumné infrastruktury","01.01.2020","09.09.9999",
"CS","FORMA",56,"960","Právnická osoba zříz.zvl.zák.zap.do VR","Právnická osoba zřízená zvláštním zákonem zapisovaná do veřejného rejstříku","01.06.2016","09.09.9999",

